,date,date_year,date_month,date_day,Name,open,high,low,close,volume,score,cont_len,cont_pol,sent_neg,sent_neu,sent_pos
0,2013-02-11,2013,2,11,A,45.17,45.18,44.45,1,2915405,0,37,0.0,0,1,0
1,2013-02-11,2013,2,11,AAPL,68.0714,69.2771,67.6071,0,129029425,0,37,0.0,0,1,0
2,2013-02-11,2013,2,11,ABT,34.42,34.49,34.24,1,7928236,0,37,0.0,0,1,0
3,2013-02-11,2013,2,11,ACN,73.09,73.27,72.1,1,1880055,0,37,0.0,0,1,0
4,2013-02-11,2013,2,11,AMZN,263.2,263.25,256.6,0,3403403,0,37,0.0,0,1,0
5,2013-02-12,2013,2,12,A,44.81,44.95,44.5,1,2373731,1,204,0.13,0,0,1
6,2013-02-12,2013,2,12,AAPL,68.5014,68.9114,66.8205,0,151829363,1,204,0.13,0,0,1
7,2013-02-12,2013,2,12,ABT,34.27,34.5,34.21,1,7070536,1,204,0.13,0,0,1
8,2013-02-12,2013,2,12,ACN,72.89,73.495,72.58,1,1710274,1,204,0.13,0,0,1
9,2013-02-12,2013,2,12,AMZN,259.19,260.16,257.0,0,2938660,1,204,0.13,0,0,1
10,2013-02-13,2013,2,13,A,44.81,45.24,44.68,1,2052338,0,215,0.82,0,0,1
11,2013-02-13,2013,2,13,AAPL,66.7442,67.6628,66.1742,0,118721995,0,215,0.82,0,0,1
12,2013-02-13,2013,2,13,ABT,34.29,34.58,34.25,1,6688100,0,215,0.82,0,0,1
13,2013-02-13,2013,2,13,ACN,73.32,73.71,73.2,1,1884631,0,215,0.82,0,0,1
14,2013-02-13,2013,2,13,AMZN,261.53,269.96,260.3,0,5292996,0,215,0.82,0,0,1
15,2013-02-14,2013,2,14,A,44.72,44.78,44.36,1,3826245,3,39,0.73,0,0,1
16,2013-02-14,2013,2,14,AAPL,66.3599,67.3771,66.2885,0,88809154,3,39,0.73,0,0,1
17,2013-02-14,2013,2,14,ABT,34.28,34.75,34.28,1,8561425,3,39,0.73,0,0,1
18,2013-02-14,2013,2,14,ACN,73.21,73.5,72.66,1,2096346,3,39,0.73,0,0,1
19,2013-02-14,2013,2,14,AMZN,267.37,270.65,265.4,0,3462780,3,39,0.73,0,0,1
20,2013-02-15,2013,2,15,A,43.48,44.24,42.21,1,14657315,1,315,0.53,0,0,1
21,2013-02-15,2013,2,15,AAPL,66.9785,67.1656,65.7028,0,97924631,1,315,0.53,0,0,1
22,2013-02-15,2013,2,15,ABT,34.84,35.1,34.775,1,10016820,1,315,0.53,0,0,1
23,2013-02-15,2013,2,15,ACN,73.08,74.16,73.0,1,3221961,1,315,0.53,0,0,1
24,2013-02-15,2013,2,15,AMZN,267.63,268.92,263.11,0,3979832,1,315,0.53,0,0,1
25,2013-02-19,2013,2,19,A,42.21,43.12,42.21,1,4116141,1,70,0.18,0,0,1
26,2013-02-19,2013,2,19,AAPL,65.8714,66.1042,64.8356,0,108854046,1,70,0.18,0,0,1
27,2013-02-19,2013,2,19,ABT,35.18,35.29,34.75,1,9584941,1,70,0.18,0,0,1
